episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,success,crash,out,max_step,cost,length,takeover,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/pid_error,info/mean_online_episode_cost,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_td_error,info/learner/default_policy/mean_c_td_error,info/learner/default_policy/actor_loss,info/learner/default_policy/critic_loss,info/learner/default_policy/cost_critic_loss,info/learner/default_policy/alpha_loss,info/learner/default_policy/lambda_value,info/learner/default_policy/alpha_value,info/learner/default_policy/target_entropy,info/learner/default_policy/c_td_target,info/learner/default_policy/mean_q,info/learner/default_policy/mean_c_q,info/learner/default_policy/max_q,info/learner/default_policy/max_c_q,info/learner/default_policy/min_q,info/learner/default_policy/min_c_q,info/learner/default_policy/c_q_tp1,info/learner/default_policy/mean_batch_cost,info/learner/default_policy/reward_loss,info/learner/default_policy/cost_loss
307.74489122256864,216.675012877863,276.23574979052177,366.0,1,0,1100,False,3,11,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-48-54,1752522534,19.566425323486328,213.55768132209778,1607147,pouyan-XPS-15-9500,192.168.2.18,213.55768132209778,0,11,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,366.0,351.0,10197_00000,0_seed=0,"[216.675012877863, 307.74489122256864, 304.28734527113363]","[300, 406, 392]",45.418,22546.186,[-2.02802221],[0.97197779],1100,1025024,1100,501,33.41071428571429,54.278571428571425,4.498019,0.0063138604,-4.369987,-26.424217,4.3310516e-05,0.001044624,0.57808876,0.9555974,-2,-0.03424801,3.3015423,-0.036886275,23.66384,0.015194616,-27.019955,-0.080538124,-0.03460607,0.0,-4.3303814,-0.039605737
307.74489122256864,216.675012877863,276.23574979052177,366.0,0,0,1200,False,3,12,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-49-13,1752522553,18.223192930221558,231.78087425231934,1607147,pouyan-XPS-15-9500,192.168.2.18,231.78087425231934,0,12,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,366.0,351.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863]","[406, 392, 300]",45.676,22418.627,[-2.02802221],[0.97197779],1200,1127424,1200,551,33.01923076923077,54.36538461538461,4.000934,0.0070545953,-3.6956165,-33.076393,4.6907466e-05,0.0034564775,0.57808876,0.95601314,-2,-0.034735113,3.6012325,-0.033549763,24.82061,0.011078392,-30.913095,-0.089650825,-0.035170887,0.0,-3.6527023,-0.042913884
307.74489122256864,216.675012877863,276.23574979052177,366.0,0,0,1300,False,3,13,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-49-32,1752522572,18.97082233428955,250.7516965866089,1607147,pouyan-XPS-15-9500,192.168.2.18,250.7516965866089,0,13,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,366.0,351.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863]","[406, 392, 300]",49.259,20788.222,[-2.02802221],[0.97197779],1300,1229824,1300,601,33.25555555555555,54.388888888888886,3.3659506,0.008074462,0.46092665,-33.397186,0.0010946225,0.020629166,0.57808876,0.9574824,-2,-0.031359017,0.87689984,-0.033531666,24.959522,0.053351134,-34.025978,-0.08183919,-0.034345224,0.0025498238,0.49689323,-0.035966564
307.74489122256864,216.675012877863,276.23574979052177,366.0,0,0,1400,False,3,14,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-49-51,1752522591,19.478824138641357,270.23052072525024,1607147,pouyan-XPS-15-9500,192.168.2.18,270.23052072525024,0,14,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,366.0,351.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863]","[406, 392, 300]",47.493,21561.016,[-2.02802221],[0.97197779],1400,1332224,1400,651,33.00714285714285,54.324999999999996,3.7126563,0.014887039,0.5887133,-30.191933,0.0020389995,0.023899177,0.57808876,0.9613073,-2,-0.028501749,0.7341643,-0.040992707,24.115536,0.032960676,-37.28294,-0.07768651,-0.033177596,0.0043440694,0.6316808,-0.042967312
307.74489122256864,216.675012877863,283.0473273804526,371.5,1,0,1500,False,4,15,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-50-10,1752522610,18.278456926345825,288.50897765159607,1607147,pouyan-XPS-15-9500,192.168.2.18,288.50897765159607,0,15,0.75,0.0,0.25,0.0,0.25,371.5,335.5,10197_00000,0_seed=0,"[303.48206015024505, 307.74489122256864, 304.28734527113363, 216.675012877863]","[388, 406, 392, 300]",45.435,22537.845,[2.01538054],[5.01538054],1500,1434624,1500,701,31.13461538461538,54.31923076923077,4.1885037,0.016703118,0.9241406,-14.191517,0.004387349,0.019450959,0.7868629,0.96561706,-2,-0.021785045,0.28352523,-0.026604082,23.138783,0.03409707,-37.861923,-0.076278836,-0.03145784,0.009172004,0.95200706,-0.027866498
307.74489122256864,216.675012877863,283.04732738045254,371.5,0,0,1600,False,4,16,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-50-28,1752522628,18.50423550605774,307.0132131576538,1607147,pouyan-XPS-15-9500,192.168.2.18,307.0132131576538,0,16,0.75,0.0,0.25,0.0,0.25,371.5,335.5,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505]","[406, 392, 300, 388]",47.595,21514.962,[2.01538054],[5.01538054],1600,1537024,1600,751,32.62222222222222,54.31851851851851,3.8051167,0.03027649,3.0388317,-23.152203,0.004760482,0.017156176,0.7868629,0.970006,-2,-0.020580411,-1.2493591,-0.050780267,21.331974,0.029806908,-44.281162,-0.1233151,-0.029525429,0.008600841,3.0896068,-0.05077479
307.74489122256864,216.675012877863,283.04732738045254,371.5,0,0,1700,False,4,17,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-50-47,1752522647,19.22335433959961,326.2365674972534,1607147,pouyan-XPS-15-9500,192.168.2.18,326.2365674972534,0,17,0.75,0.0,0.25,0.0,0.25,371.5,335.5,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505]","[406, 392, 300, 388]",46.463,22039.262,[2.01538054],[5.01538054],1700,1639424,1700,801,33.06666666666666,54.229629629629635,4.2648196,0.019153127,2.906211,-11.18275,0.0043111714,0.0131591875,0.7868629,0.975217,-2,-0.017866973,-0.8993432,-0.018992206,20.703941,0.08611417,-41.326786,-0.08007421,-0.027131345,0.008919021,2.9256508,-0.019439876
307.74489122256864,216.675012877863,283.04732738045254,371.5,0,0,1800,False,4,18,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-51-07,1752522667,19.348111629486084,345.5846791267395,1607147,pouyan-XPS-15-9500,192.168.2.18,345.5846791267395,0,18,0.75,0.0,0.25,0.0,0.25,371.5,335.5,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505]","[406, 392, 300, 388]",43.444,23570.838,[2.01538054],[5.01538054],1800,1741824,1800,851,31.889285714285712,54.17857142857144,3.8705032,0.026708642,3.86309,-21.000414,0.0062008337,0.01144376,0.7868629,0.9807038,-2,-0.009383501,-1.8767416,-0.008324234,19.223877,0.09559747,-41.128376,-0.067649715,-0.022092253,0.01244894,3.8711057,-0.008015877
307.74489122256864,216.675012877863,286.3540316465866,378.2,1,0,1900,False,5,19,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-51-25,1752522685,18.11678147315979,363.7014605998993,1607147,pouyan-XPS-15-9500,192.168.2.18,363.7014605998993,0,19,0.8,0.0,0.2,0.0,0.2,378.2,301.0,10197_00000,0_seed=0,"[299.58084871112226, 307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505]","[405, 406, 392, 300, 388]",44.829,22842.424,[12.23985926],[15.23985926],1900,1844224,1900,901,30.142307692307693,54.21153846153846,3.9550726,0.030106915,3.3444285,-22.128975,0.008768085,0.006941825,1.5601085,0.9852025,-2,-0.0017739445,-1.6567769,-0.009076823,16.225927,0.088740185,-31.820766,-0.08055239,-0.019059401,0.0170494,3.3517284,-0.0072998134
307.74489122256864,216.675012877863,286.35403164658646,378.2,0,0,2000,False,5,20,c052614c78214728bd60aae7d7c29ced,2025-07-14_15-51-44,1752522704,18.543497800827026,382.2449584007263,1607147,pouyan-XPS-15-9500,192.168.2.18,382.2449584007263,0,20,0.8,0.0,0.2,0.0,0.2,378.2,301.0,10197_00000,0_seed=0,"[307.74489122256864, 304.28734527113363, 216.675012877863, 303.48206015024505, 299.58084871112226]","[406, 392, 300, 388, 405]",45.977,22272.042,[12.23985926],[15.23985926],2000,1946624,2000,951,31.448148148148153,54.22222222222223,3.4956865,0.02661695,4.707704,-16.204813,0.007265478,0.003211054,1.5601085,0.98877054,-2,0.00076201913,-2.7484336,-0.0036677748,16.815321,0.15242702,-35.998943,-0.08263762,-0.014213711,0.014811967,4.7122355,-0.004531461
